Zip Codes,Senior Centers,Elderly(over 65),Kids Under 5,Cooling Centers,Caregiver (Organizations),Percent 100% Below Poverty Threshold 2013-2017,Percent Between 100% and 150% of Poverty Threshold 2013-2017,Total Percent Below 150% of Poverty Threshold 2013-2017,Affordable housing(buildings),Affordable housing total units
10001,1,13.43%,3.20%,1,1,11.3,9.6,20.9,16,4455
10002,8,19.70%,3.70%,6,0,19.3,28.9,48.2,47,5322
10003,1,10.69%,1.80%,0,0,19.3,28.9,48.2,23,576
10004,0,9.76%,0.10%,0,0,8.8,5.9,14.7,0,0
10005,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10006,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10007,0,13.32%,6.10%,0,0,8.8,5.9,14.7,0,0
10009,2,19.70%,3.70%,1,0,19.3,28.9,48.2,86,5965
10010,1,13.94%,3.80%,1,0,9.8,8.2,18,33,3396
10011,3,13.43%,3.20%,1,0,11.3,9.6,20.9,5,1120
10012,1,16.40%,3.60%,0,0,8.8,5.9,14.7,1,175
10013,3,13.32%,6.10%,1,0,8.8,5.9,14.7,3,408
10014,2,16.40%,3.60%,1,0,8.8,5.9,14.7,3,222
10015,0,0%,0%,0,0,8.8,5.9,14.7,0,0
10016,0,15.47%,3.60%,1,0,9.8,8.2,18,5,1357
10017,0,25.02%,3.40%,0,0,9.8,8.2,18,1,429
10018,0,13.43%,3.20%,0,0,11.3,9.6,20.9,3,1074
10019,1,13.43%,3.20%,2,0,11.3,9.6,20.9,14,4315
10020,0,13.43%,3.20%,0,0,11.3,9.6,20.9,0,0
10021,2,20.82%,5.10%,0,1,7.2,6,13.2,1,11
10022,2,25.02%,3.40%,0,0,9.8,8.2,18,3,265
10023,3,21.14%,5.80%,1,0,9.2,8.3,17.5,5,1893
10024,1,20.30%,5.40%,1,0,9.2,8.3,17.5,3,237
10025,2,20.30%,5.40%,0,0,9.2,8.3,17.5,20,1686
10026,1,10.08%,6.50%,1,0,20.2,26,46.2,34,1462
10027,3,14.71%,2.80%,4,0,20.45,25.95,46.4,66,1834
10028,0,20.82%,5.10%,0,0,7.2,6,13.2,1,140
10029,6,14.09%,4.90%,4,0,22.3,34.1,56.4,96,7488
10030,2,10.61%,7.40%,0,0,20.2,26,46.2,93,1975
10031,1,10.85%,5.50%,1,0,20.7,25.9,46.6,38,1021
10032,3,13.30%,4.80%,2,0,19.6,30.2,49.8,23,1333
10033,3,15.60%,5.50%,3,0,19.6,30.2,49.8,9,303
10034,2,13.33%,6.20%,2,0,19.6,30.2,49.8,5,205
10035,2,11.95%,6.50%,0,0,22.3,34.1,56.4,73,3433
10036,2,13.43%,3.20%,3,0,11.3,9.6,20.9,10,3686
10037,2,11.95%,6.50%,1,0,22.3,34.1,56.4,36,2551
10038,1,21.90%,3.20%,1,2,8.8,5.9,14.7,2,603
10039,0,10.61%,7.40%,1,0,20.2,26,46.2,37,2536
10040,1,15.60%,5.50%,1,0,19.6,30.2,49.8,4,183
10041,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10044,1,17.49%,6.20%,0,0,7.2,6,13.2,1,341
10045,0,6.97%,7.00%,0,0,8.8,5.9,14.7,0,0
10048,0,0%,0%,0,0,8.8,5.9,14.7,0,0
10055,0,25.02%,3.40%,0,0,9.2,8.3,17.5,0,0
10060,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10069,0,21.14%,5.80%,0,0,9.2,8.3,17.5,2,546
10090,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
10095,0,13.32%,6.10%,0,0,9.2,8.3,17.5,0,0
